Reconstruction Coord z;Map Coord z;Error z;;;;;
0,00194;0,386686;0,384746;;;;;
0,035553;0,420252;0,384699;;;;;
0,079547;0,463773;0,384226;;;;;
0,047499;0,431161;0,383662;;;;;
0,149288;0,532509;0,383221;;;;;
0,024291;0,407304;0,383013;;;;;
0,032181;0,414028;0,381847;;;;;
0,028791;0,410334;0,381543;;;;;
0,031722;0,413075;0,381354;;;;;
0,031901;0,413139;0,381238;;;;;
0,042668;0,423781;0,381112;;;;;
0,028588;0,409392;0,380804;;;;;
0,030614;0,411239;0,380625;;;;;
0,002279;0,382594;0,380315;;;;;
0,019461;0,399765;0,380304;;;;;
0,019461;0,399765;0,380304;;;;;
0,026939;0,406866;0,379927;;;;;
0,032113;0,412016;0,379903;;;;;
0,013298;0,392827;0,379529;;;;;
0,032113;0,411544;0,379431;;;;;
0,003308;0,382732;0,379424;;;;;
0,01605;0,395371;0,379321;;;;;
0,04444;0,423341;0,378902;;;;;
0,031771;0,410652;0,378881;;;;;
0,018895;0,397621;0,378726;;;;;
0,032216;0,409714;0,377498;;;;;
0,032216;0,409714;0,377498;;;;;
0,012587;0,38953;0,376943;;;;;
0,012599;0,38891;0,37631;;;;;
0,013915;0,389498;0,375583;;;;;
0,12272;0,498268;0,375548;;;;;
0,12272;0,498268;0,375548;;;;;
0,048895;0,424047;0,375152;;;;;
0,000414;0,374978;0,374564;;;;;
0,000424;0,374978;0,374554;;;;;
0,001326;0,375537;0,374211;;;;;
0,023234;0,397113;0,373879;;;;;
0,131935;0,505384;0,373449;;;;;
0,026594;0,399712;0,373118;;;;;
0,030184;0,403217;0,373034;;;;;
0,021159;0,394102;0,372943;;;;;
0,003378;0,375537;0,372159;;;;;
0,003378;0,375537;0,372159;;;;;
0,024966;0,39675;0,371785;;;;;
0,012253;0,384023;0,37177;;;;;
0,017648;0,388873;0,371225;;;;;
0,03196;0,402091;0,370131;;;;;
0,012183;0,382166;0,369982;;;;;
0,031929;0,401614;0,369686;;;;;
0,037241;0,406789;0,369549;;;;;
0,128962;0,498415;0,369453;;;;;
0,05371;0,422062;0,368352;;;;;
0,032555;0,400387;0,367832;;;;;
0,087061;0,454499;0,367438;;;;;
0,018378;0,385737;0,367359;;;;;
0,028104;0,395411;0,367307;;;;;
0,029461;0,395496;0,366034;;;;;
0,066074;0,430778;0,364704;;;;;
0,032758;0,397234;0,364476;;;;;
0,022534;0,387005;0,364471;;;;;
0,036374;0,40063;0,364256;;;;;
0,013387;0,377335;0,363948;;;;;
0,020524;0,384246;0,363722;;;;;
0,020156;0,383829;0,363674;;;;;
0,031962;0,395443;0,363481;;;;;
0,029026;0,392476;0,363449;;;;;
0,030882;0,393702;0,36282;;;;;
0,033744;0,395897;0,362153;;;;;
0,030753;0,392462;0,36171;;;;;
0,061025;0,422645;0,361619;;;;;
0,027887;0,38937;0,361483;;;;;
0,02781;0,388873;0,361063;;;;;
0,032322;0,392984;0,360661;;;;;
0,024493;0,38498;0,360487;;;;;
0,031528;0,391851;0,360323;;;;;
0,012206;0,372406;0,360201;;;;;
0,031165;0,3911;0,359935;;;;;
0,031165;0,3911;0,359935;;;;;
0,031511;0,39115;0,359639;;;;;
0,030536;0,389975;0,35944;;;;;
0,031015;0,390347;0,359332;;;;;
0,030919;0,390144;0,359225;;;;;
0,011298;0,369925;0,358627;;;;;
0,02952;0,388053;0,358533;;;;;
0,030553;0,388637;0,358084;;;;;
0,031598;0,389315;0,357717;;;;;
0,031612;0,388745;0,357133;;;;;
0,031568;0,388651;0,357083;;;;;
0,032973;0,389975;0,357002;;;;;
0,030452;0,387333;0,356881;;;;;
0,001803;0,358005;0,356202;;;;;
0,030746;0,386827;0,356082;;;;;
0,012863;0,368405;0,355542;;;;;
0,012417;0,366965;0,354548;;;;;
0,022783;0,377203;0,35442;;;;;
0,022783;0,377203;0,35442;;;;;
0,01466;0,368756;0,354097;;;;;
0,08724;0,441298;0,354057;;;;;
0,031372;0,384888;0,353515;;;;;
0,036506;0,389694;0,353188;;;;;
0,031222;0,384187;0,352965;;;;;
0,031168;0,383972;0,352804;;;;;
0,030219;0,382749;0,35253;;;;;
0,010295;0,362685;0,35239;;;;;
0,091627;0,443545;0,351919;;;;;
0,011557;0,363122;0,351565;;;;;
0,011557;0,363122;0,351565;;;;;
0,031126;0,382594;0,351468;;;;;
0,002697;0,354017;0,35132;;;;;
0,03181;0,382532;0,350722;;;;;
0,030236;0,380426;0,35019;;;;;
0,030298;0,380426;0,350128;;;;;
0,059066;0,409106;0,350041;;;;;
0,059066;0,409106;0,350041;;;;;
0,164485;0,514288;0,349802;;;;;
0,031075;0,380426;0,349351;;;;;
0,121526;0,470349;0,348823;;;;;
0,035986;0,381915;0,345929;;;;;
0,028699;0,374526;0,345827;;;;;
0,031162;0,37623;0,345068;;;;;
0,09985;0,444745;0,344895;;;;;
0,029627;0,374462;0,344836;;;;;
0,029627;0,374462;0,344836;;;;;
0,013637;0,358005;0,344368;;;;;
0,013906;0,358272;0,344366;;;;;
0,026102;0,370376;0,344274;;;;;
0,113018;0,456751;0,343733;;;;;
0,001896;0,345324;0,343428;;;;;
0,047145;0,390007;0,342862;;;;;
0,036434;0,378759;0,342325;;;;;
0,000524;0,341819;0,341295;;;;;
0,03117;0,372406;0,341237;;;;;
0,023639;0,363944;0,340305;;;;;
0,026795;0,366965;0,34017;;;;;
0,010636;0,350549;0,339913;;;;;
0,040195;0,379485;0,339291;;;;;
0,040195;0,379485;0,339291;;;;;
0,018818;0,357871;0,339053;;;;;
0,011783;0,350549;0,338766;;;;;
0,062313;0,400265;0,337951;;;;;
0,001143;0,338547;0,337403;;;;;
0,060062;0,397234;0,337172;;;;;
0,030502;0,367427;0,336925;;;;;
0,030502;0,367427;0,336925;;;;;
0,037695;0,374475;0,336779;;;;;
0,037695;0,374475;0,336779;;;;;
0,029534;0,365043;0,335509;;;;;
0,000263;0,334575;0,334311;;;;;
0,030502;0,36446;0,333958;;;;;
0,048871;0,382166;0,333295;;;;;
0,021083;0,354347;0,333264;;;;;
0,028301;0,361494;0,333193;;;;;
0,050901;0,384087;0,333186;;;;;
0,035169;0,367773;0,332604;;;;;
0,035169;0,367773;0,332604;;;;;
0,055431;0,387687;0,332256;;;;;
0,055431;0,387687;0,332256;;;;;
0,053207;0,384087;0,330881;;;;;
0,034566;0,365043;0,330477;;;;;
